id,title,assignee,inventor,priority_date,creation_date,publication_date,grant_date,result_link,representative_figure_link,number_of_authors,number_of_viewers
US-11735028-B2,Artificial intelligence applications for computer-aided dispatch systems ,Intergraph Corporation,"II Jackie Paul Williams, Michael Thomas Cole, José Eduardo Zindel Deboni",2018-06-12,2019-06-10,2023-08-22,2023-08-22,https://patents.google.com/patent/US11735028B2/en,https://patentimages.storage.googleapis.com/b5/e5/dd/40e357f688a183/US11735028-20230822-D00000.png,two,30007
US-10380332-B2,Voiceprint login method and apparatus based on artificial intelligence ,"Baidu Online Network Technology (Beijing) Co., Ltd.","Chao Li, Yong Guan, Lei Jia",2015-03-20,2015-07-15,2019-08-13,2019-08-13,https://patents.google.com/patent/US10380332B2/en,https://patentimages.storage.googleapis.com/b3/98/75/7319845c9a3c59/US10380332-20190813-D00000.png,two,30008
US-11733766-B2,Ultra-low power neuromorphic artificial intelligence computing accelerator ,Qualcomm Incorporated,"Yu Pu, Yang Du",2017-09-01,2022-06-14,2023-08-22,2023-08-22,https://patents.google.com/patent/US11733766B2/en,https://patentimages.storage.googleapis.com/05/8e/0c/7a61bc1b0aee48/US11733766-20230822-D00000.png,two,30009
US-10606949-B2,Artificial intelligence based method and apparatus for checking text ,"Beijing Baidu Netcom Science And Technology Co., Ltd.","Zhifan ZHU, Shikun FENG, Kunsheng ZHOU, Jingzhou HE",2017-06-01,2018-03-14,2020-03-31,2020-03-31,https://patents.google.com/patent/US10606949B2/en,https://patentimages.storage.googleapis.com/14/57/6c/646cda4f3c55ed/US10606949-20200331-D00000.png,two,30010
US-10713442-B1,Applied artificial intelligence technology for interactive story editing to support natural language generation (NLG) ,Narrative Science Inc.,"Andrew R. Paley, Nathan Drew Nichols, Matthew Lloyd Trahan, Maia Jane Lewis Meza, Lawrence A. Birnbaum, Kristian J. Hammond",2017-02-17,2018-02-15,2020-07-14,2020-07-14,https://patents.google.com/patent/US10713442B1/en,https://patentimages.storage.googleapis.com/86/49/06/26ce8550db461e/US10713442-20200714-D00000.png,one,30011
US-2021174637-A1,Interactive Gaming Systems With Artificial Intelligence ,"Ag 18, Llc","Brian Frenkel, Jordan Simons",2005-07-14,2020-10-19,2021-06-10,,https://patents.google.com/patent/US20210174637A1/en,https://patentimages.storage.googleapis.com/fe/15/64/f9dcf329a58e5b/US20210174637A1-20210610-D00000.png,one,30012
US-11374955-B2,Apparatus having engine using artificial intelligence for detecting anomalies in a computer network ,"Akitra, Inc.","Naveen S. Bisht, Kanna Rajan",2019-01-16,2021-06-07,2022-06-28,2022-06-28,https://patents.google.com/patent/US11374955B2/en,https://patentimages.storage.googleapis.com/76/9d/93/c1082e076bb3aa/US11374955-20220628-D00000.png,one,30013
EP-3867841-B1,System for controlling and managing a process within an environment using artificial intelligence techniques and relative method ,Laser Navigation S.r.l.,Roberto Navoni,2018-10-15,2019-10-15,2023-09-13,2023-09-13,https://patents.google.com/patent/EP3867841B1/en,https://patentimages.storage.googleapis.com/6b/c0/f2/98bb9f9778ffe3/imgf0001.png,one,30014
US-11694257-B2,Utilizing artificial intelligence to make a prediction about an entity based on user sentiment and transaction history ,"Capital One Services, Llc",Joni Bridget Jezewski,2018-02-14,2019-07-19,2023-07-04,2023-07-04,https://patents.google.com/patent/US11694257B2/en,https://patentimages.storage.googleapis.com/f3/16/ff/8d185b3a2d19d7/US11694257-20230704-D00000.png,one,30015
US-11750741-B2,Systems for transitioning telephony-based and in-person servicing interactions to and from an artificial intelligence (AI) chat session ,"Capital One Services, Llc","Scott Karp, Deepak Kaushik",2019-05-22,2021-06-07,2023-09-05,2023-09-05,https://patents.google.com/patent/US11750741B2/en,https://patentimages.storage.googleapis.com/ca/89/d2/6a2cc86debe4bf/US11750741-20230905-D00000.png,one,30016
US-2021174372-A1,Methods and apparatus for using artificial intelligence entities to provide information to an end user ,"Salesforce.Com, Inc.","Tushar G. Jadhav, Kamleshkumar Patel",2017-02-15,2020-12-10,2021-06-10,,https://patents.google.com/patent/US20210174372A1/en,https://patentimages.storage.googleapis.com/ea/f2/d8/54be469c87cf84/US20210174372A1-20210610-D00000.png,one,30017
US-11580428-B2,Distributed and contextualized artificial intelligence inference service ,Intel Corporation,"Francesc Guim Bernat, Suraj Prabhakaran, Kshitij Arun Doshi, Da-Ming Chiang, Joe Cahill",2017-12-28,2022-02-10,2023-02-14,2023-02-14,https://patents.google.com/patent/US11580428B2/en,https://patentimages.storage.googleapis.com/b7/b5/35/5df6418fd8b3c8/US11580428-20230214-D00000.png,one,30018
